COEFF,DEFINITIONS,UNIT,CATEGORY,SOURCE_FILE,FILE_DESCRIPTION,DSSAT_VERSION
WTPSD,Maximum weight per seed,g,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
SFDUR,Seed filling duration for pod cohort at standard growth conditions,photothermal days,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
SDPDV,Average seed per pod under standard growing conditions,#/pod,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
PODUR,Time required for cultivar to reach final pod load under optimal conditions,photothermal days,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
THRSH,Threshing percentage. The maximum ratio of (seed/(seed+shell)) at maturity,%,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
SDPRO,Fraction protein in seeds,g(protein)/g(seed),GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
SDLIP,Fraction oil in seeds,g(oil)/g(seed),GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
VAR#,Identification code or number for a specific cultivar,#,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
VAR-NAME,Name of cultivar,NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
VSEN,sensitivity to vernalisation,NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
PPSEN,sensitivity to photoperiod,NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
Pn,Duration of phase n where n is phase number (PVoC.D),NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
PPSn,"Photoperiod sensitivity,phase(n). % drop in rate,10h pp.change",NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
P,Phenology,NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
G,Growth,NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
N,NotCalibrated,NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
PANTH,Thermal time from the end of tassel initiation to anthesis (degree days above TBASE),NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
P1V,"Days,optimum vernalizing temperature,required for vernalization",Vday,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
P1D,Photoperiod response (% reduction in rate/10 h drop in pp),%/10h,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
P20,Critical photoperiod or the longest day length at which the development occurs at a maximum rate,hours,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
P2R,Extent to which phasic development leading to panicle initiation is delayed for each hour increase in photoperiod above P2O,oC.d,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
PSAT,Critical photoperiod below which development is not delayed,NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
PBASE,Ceiling photoperiod above which development is delayed indefinitely,NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
THOT,Temperature (oC) above which spikelet sterility is affected by high temperature.,oC,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
PHINT,Phyllochron interval,oC.d,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
GRNO,Coefficient of kernel number per stem weight at the beginning of grain filling,kernels (g stem)-1,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
MXFIL,Potential kernel growth rate:  Values between 1.0 and 3.0,mg kernel-1 day-1,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
STMMX,Potential final dry weight of a single tiller values 1.0 - 3.0,g stem-1,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
SLAP1,ratio of leaf area to mass at emergence,cm2/g,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
G#WTS,Standard grain number per unit canopy weight at anthesis,#/g,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
GWTS,"Standard grain size,optimum conditions,normal plant density",mg,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
LA1S,Area of standard first leaf,cm2,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
LAFV,"Increase in potential area of leaves,vegetative phase",fr/leaf,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
LAFR,"Increase in potential area of leaves,reproductive phase",fr/leaf,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
TCLDP,"Temperature (oC) below which panicle initiation is further delayed (other than P1, P2O and P2R) by low temperature.",oC,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
TCLDF,Temperature (oC) below which spikelet sterility is affected by low temperature,oC,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
SHWTS,"Standard,non-stressed shoot dry weight (incl.grain),maturity",g,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
SLAS,"Specific leaf area,standard",cm2/g,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
VREQ,Vernalization required for max.development rate,Vdays,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
VBASE,Vernalization requirement before any effect,Vdays,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
VEFF,Vernalization effect (Rate reduction when unvernalized),fr/leaf,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
su1,Sugary genotypes (earlier cultivars of sweet corn),NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
se1,Sugary-enhancer genotypes (increases the sugar level in homozygous su1 germplasm),NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
sh2,Shrunken genotypes ('super sweet' cultivars),NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
O1,Maximum kernel oil content,%,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
MAXGL,Maximum number of green leaf a tiller can hold,#/tiller,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
MAXDGL,Maximum number of developed (dewlap formed) green leaf a tiller can hold,#/tiller,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
N_LF_STK_EM,Number of leaves appeared before stalks emerges at soil surface,#/tiller,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
N_LF_IT_FORM,Number of leaves appeared before internode formation,#/tiller,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
AMAX,Assimilation rate at light saturation point,micromol/m2/s,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
EFF,Carboxylation efficiency,micromol[CO2]/m2/s (micromol[PPFD]/m2/s)-1,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
CHUSTK,Thermal time for stalk emergence,oCdays,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
CHUPEAK,"Thermal time for tillering peak (only used when competition for light is switched-off, method_pop = 1",oCdays,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
CHUDEC,Thermal time for tillering senescence,oCdays,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
CHUMAT,Thermal time for population stabilization,oCdays,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
POPPEAK,"Number of tillers at peak of population, only used if competition for light is switched-off",tillers/m2,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
TILLOCHRON,Thermal time required for the emergence of one new tiller,oCdays/tiller,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
SLA,Specific Leaf Area,(cm2/g),GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
MLA,Maximum leaf area,cm2,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
PLASTOCHRON,Thermal time required for the appearance of one new phytomer,oCdays/phytomer,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
INIT_LF_AREA,Initial leaf area of first appeared leaf,cm2,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
MAX_INI_LA,Initial leaf area of leaves appeared after top parts formation,cm2,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
MAX_IT_DW,Maximum Dry Biomass of Internodes,g,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
MID_TT_IT_GRO,Thermal time where internodes can achieve half of its maximum biomass,oCdays,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
END_TT_IT_GRO,Thermal time for completion of internode growth,oCdays,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
MID_TT_LF_GRO,Thermal time where leaves can achieve half of its maximum biomass,oCdays,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
END_TT_LF_GRO,Thermal time for completion of leaf growth,oCdays,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
PHTMAX,Maximum amount of CH20 which can be produced if PAR is very high,g[CH2O]/m2-d,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
StkH2OFac,Factor adjusts fresh cane weight according to dry matter by stalk,None,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
SuH2OFac,Factor adjusts fresh cane weight according to sucrose by stalk,None,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
PLF1,"Maximum proportion of available CH2O prioritized to leaves, under source (CH2O) limited conditions, phyllocron interval 1",proportion,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
PLF2,"Maximum proportion of available CH2O prioritized to leaves, under source (CH2O) limited conditions ,phyllocron interval 2",proportion,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
Gamma,Fraction of excess CH2O (sink limited conditions) destined for stalk growth (1-GAMMA goes to sucrose),proportion,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
StkB,Constant used in calculating the rate of increase of each stalk's weight,NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
StkM,Coefficient used in calculating the rate of increase of each stalk's weight,NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
SIZLF,Maximum size of largest leaf. To be used to adjust values generated by the TABEX pair XLFNUM-YLFSZ in the ECO file,cm2,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
Lisun,PAR intercepted by direct-sun (uppermost) canopy zone,proportion,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
Lishd,PAR intercepted by direct-sun plus mid-level canopy zone ,proportion,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
TB_1,Base temperature for leaf appearance and primary stalk emergence,oC,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
TO1_1,"Lower optimum temperature, leaf development ",oC,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
TO2_1,"Upper optimum temperature, leaf development",oC,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
TM_1,"Maximum temperature, leaf development",oC,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
PI1,Phyllocron interval 1,oCdays,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
PI2,Phyllocron interval 2,oCdays,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
PSWITCH,Leaf number at which the phyllocron changes.,NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
DTPI,Thermal time threshold at which phyllocron interval changes from Ph1 to Ph2,oCdays,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
LSFAC,Ratio of leaf sheath DM to leaf blade DM,ratio,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
LI1,Light Interception below which there is little competition for light among tillers,proportion,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
TELOM,Threshold to tiller emergence (telomechron interval) during early growth prior to light competition among tillers,oCdays,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
TB_2,Base temperature for tiller appearance,oC,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
TO1_2,"Lower optimum temperature, tiller development",oC,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
TO2_2,"Upper optimum temperature, tiller development",oC,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
TM_2,"Maximum temperature, tiller development",oC,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
Ph1P,"threshold to sprouting, plant cane",oCdays,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
Ph1R,"threshold to sprouting, ratoon cane",oCdays,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
Ph2,Growth rate of primary stalk (rate of emergence for plant cane),mm/oCdays,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
Ph3,Threshold for growth of primary stalk and first tillers and first leaves above the ground surface,oCdays,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
Ph4,Threshold  for tillering and establishment of the foliage ,oCdays,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
StHrv,Number of mature stalks per stool at most recent harvest,tillers,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
RTNFC,Number of primary shoots to develop from each mature stalk cut during the previous harvest (ratoon growth only),tillers,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
MinGr,Weight below which a tiller having more than CAB X 2 nodes senesces (g),kg/tiller,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
RE30C,Respiration coefficient that depends on stalk & root mass at 30C (related in CASUPRO to shade-induced senescence),g CH2O used/kg DW/hr,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
RL30C,Respiration coefficient that depends on leaf mass at 30C (related in CASUPRO to shade-induced senescence),g CH2O used/kg DW/hr,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
R30C2,Respiration coefficient that depends on gross photosynthesis at 30C,g CH2O used/kg[CH2O]fixed / hr,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
MaxPARCE,"Maximum (no stress) radiation conversion efficiency expressed as assimilate produced before respiration, per unit PAR",g/MJ,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
APFMX,Maximum fraction of dry mass increments that can be allocated to aerial dry mass,t/t,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
STKPFMAX,Fraction of daily aerial dry mass increments partitioned to stalk at high temperatures in a mature crop,t/t on a dry mass basis,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
SUCA,Sucrose partitioning parameter: Maximum sucrose contents in the base of stalk,t/t,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
TBFT,Sucrose partitioning:  Temperature at which partitioning of unstressed stalk mass increments to sucrose is 50% of the maximum value,NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
MXLFAREA,Max leaf area assigned to all leaves above leaf number MXLFARNO,cm2,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
MXLFARNO,Leaf number above which leaf area is limited to MXLFAREA ,NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
LER0,"Max. leaf elongation rate, per oCd",NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
TDELAY,Delay between primary shoot appearance and appearance of first secondary shoot,NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
TAR0,"Maximum tiller appearance rate, per primary shoot, per oCd",NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
POPTT16,Stalk population at/after 1600 degree days,NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
TTPLNTEM,Thermal time to emergence for a plant crop,NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
TTRATNEM,Thermal time to emergence for a ratoon crop,NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
CHUPIBASE,Thermal time from emergence to start of stalk growth,NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
SER0,"Max. stalk elongation rate, per oCd",NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
TT_POPGROWTH,Thermal time to peak tiller population ,NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
LG_AMBASE,"Aerial mass (fresh mass of stalks, leaves, and water attached to them) at which lodging starts",t/ha,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
AQP_UP5,Available soil water depletion fraction at which photosynthesis water stress starts,NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
TC,Upper critical temperature for tuber initiation,oC,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
PD,Index that supresses tuber growth during the period that immediately follows tuber induction,NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
C/LOL,Land of Lakes,NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
LH,Holden (Monsanto),NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
DK,Dekalb (Monsanto),NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
AS,Asgrow (Monsanto),NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
PIO,Pioneer,NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
ALL,Leaf longevity (degree days) of the most longevous leaf,degree days,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
AX,Leaf surface area (cm2/leaf) of largest leaf,cm2/leaf,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
GT,"Tillering coefficient, equivalent to G1, but on tillers",NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
NODWT,Node weight for the first stem of the shoot before branching at 3400 oCd,NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
NODLT,Mean internode length (cm) for the first stem of the shoot before branching when is lignified,NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
LPEFR,Leaf petiole fraction (fr of lamina+petiole),nA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
LNSLP,"Slope for leaf production (0.8 low rate, 1.0 medium rate, 1.2 high rate)",#,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
LLIFA,"Leaf life,from full expansion to start senescence",Thermal units,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
LAXS,Maximum area/leaf when crop growing without stress,cm2,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
BRxFX,Branch number per fork at fork x,#,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
BxyND,Duration (thermal time) from branch x to branch y,thermal time,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
STFR,Stem fraction of assimilate destined for canopy growth,#,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
SR#W,Storage root number per unit canopy weight at initiation,#/g,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
SRFR,Fr.of assimilate designated for tops sent to storage root,#,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
LPEFR,Leaf petiole fraction (fr of lamina+petiole),NA,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
LAXN2,Node # at which potential area/leaf begins to decline,#,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
LAXND,Node # at which maximum potential area/leaf reached,#,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
LAFS,End of cycle area/leaf,cm2,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
LAFND,Node # at which the end of cycle area/leaf reached,#,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
HMPC,Harvest product moisture content,%,GENOTYPE,*.CUL,GENOTYPE COEFFICIENTS FILE,DSSAT v4.8
AWNS,Awn score (0-10;10=very long),#,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
GN%MN,Minimum grain N,%,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
GN%S,Standard grain N,%,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
HTSTD,Standard canopy height,cm,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
KCAN,PAR extinction coefficient,#,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
LARS,Area of standard reproductive phase leaf,cm2,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
LAVS,Area of standard vegetative phase leaf,cm3,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
LLIFE,Life of leaves during vegetative phase (phyllochrons),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
LSPHE,Final leaf senescence ends (GrowhStage),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
LSPHS,Final leaf senescence starts (GrowhStage),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
P2FR1,Duration of phase terminal spikelet to jointing (fr P2),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
P4FR1,Duration of phase end spike growth to anthesis (fr P4),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
P4FR2,Duration of phase anthesis start to anthesis end (fr P4),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
PARU2,"PAR conversion to dm ratio,after last leaf",g/MJ,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
PARUE,"PAR conversion to dm ratio,before last leaf stage",g/MJ,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
PHFn,Factor by which PHINTS is multiplied -> PHINT for phase,#,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
PHLn,Leaf # produced during phyllochron phase,#,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
PPFPE,"Daylength factor,pre emergence (#,0-1)",#,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
RDGS,"Root depth growth rate,early phase",cm/standard d,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
RS%S,Reserves part of assimilates going to stem,%,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
TDFAC,Tiller death factor (%/st.day when tiller wt 2xstandard wt),NA,GENOTYPE,*.ECO,ECOTYPE COEFFICIENTS FILE,DSSAT v4.8
